Date,Item,Price,Category,Clothing,Suggested Price
9/24/21,jeans,$5.00 ,pants,1,5
9/24/21,boutique item,$6.00 ,boutique_item,1,
9/24/21,boutique item,$7.00 ,boutique_item,1,
9/24/21,button-down shirt,$5.00 ,long_sleeves_blouses,1,5
9/24/21,t-shirt,$3.00 ,short_sleeve_tops,1,3
9/24/21,t-shirt,$3.00 ,short_sleeve_tops,1,3
9/24/21,pants,$5.00 ,pants,1,
9/24/21,t-shirt,$3.00 ,short_sleeve_tops,1,3
9/24/21,boutique item,$6.00 ,boutique_item,1,
9/24/21,dress,$6.00 ,skirts_shorts_dresses,1,5
9/24/21,school_office_supplies,$5.00 ,school_office_supplies,0,
9/24/21,shorts,$3.00 ,skirts_shorts_dresses,1,3
9/24/21,hand bag,$5.00 ,accessories,1,5
9/24/21,earrings,$3.00 ,jewelry,1,3
9/24/21,earrings,$3.00 ,jewelry,1,3
9/24/21,notebook,$3.00 ,school_office_supplies,0,3
10/1/21,short skirt,$3.00 ,skirts_shorts_dresses,1,3
10/1/21,blouse,$5.00 ,long_sleeves_blouses,1,5
10/1/21,t-shirt,$3.00 ,short_sleeve_tops,1,3
10/1/21,earrings,$3.00 ,jewelry,1,3
10/1/21,blouse,$5.00 ,long_sleeves_blouses,1,5
10/1/21,sweater,$5.00 ,long_sleeves_blouses,1,5
10/1/21,t-shirt,$3.00 ,short_sleeve_tops,1,3
10/1/21,tank-top,$3.00 ,short_sleeve_tops,1,3
10/1/21,shorts,$3.00 ,skirts_shorts_dresses,1,3
10/1/21,blouse,$5.00 ,long_sleeves_blouses,1,5
10/1/21,boutique item,$11.00 ,boutique_item,1,
10/1/21,notebook,$1.00 ,school_office_supplies,0,3
10/1/21,long sleeve shirt,$3.00 ,long_sleeves_blouses,1,3
10/1/21,boutique item,$7.00 ,boutique_item,1,
10/1/21,long skirt,$5.00 ,skirts_shorts_dresses,1,5
10/1/21,long skirt,$5.00 ,skirts_shorts_dresses,1,5
10/1/21,sunglasses,$2.50 ,accessories,1,5
